observation_id,access,user_id,specie_id,specie_name,major_clade,family_molecules,family_morphology,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
90446,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95457,142,Habitat type,10,cat,,,back,raw_value,"","","","",""
90446,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95458,151,Season,10,cat,,,November 1894,raw_value,"","","","",""
90446,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95459,152,Water temperature,52,ºC,,,27,raw_value,"","","","",""
90446,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95455,133,Dark respiration,46,µmol O2 cm^-2 h^-1,25,Oxygen consumption in chambers in the dark,0.39,raw_value,"","","","",Oxygen consumption in chambers in the dark
90445,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,575,683,95453,143,Water depth,9,m,,,10,raw_value,"","","","",""
90445,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,575,683,95454,142,Habitat type,10,cat,,,fore,raw_value,"","","","",""
90445,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,575,683,95452,133,Dark respiration,46,µmol O2 cm^-2 h^-1,25,Oxygen consumption in chambers in the dark,0.38,raw_value,"","","","",Oxygen consumption in chambers in the dark
90492,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,353,"Tague Bay, St. Croix",17.758046,-64.605875,577,683,95670,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,0.75,raw_value,"","","","",Oxygen production in the light in stirring chambers
90492,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,353,"Tague Bay, St. Croix",17.758046,-64.605875,577,683,95671,142,Habitat type,10,cat,,,back,raw_value,"","","","",""
90492,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,353,"Tague Bay, St. Croix",17.758046,-64.605875,577,683,95672,151,Season,10,cat,,,June - Aug 1985,raw_value,"","","","",""
90448,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,353,"Tague Bay, St. Croix",17.758046,-64.605875,577,683,95464,142,Habitat type,10,cat,,,back,raw_value,"","","","",""
90448,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,353,"Tague Bay, St. Croix",17.758046,-64.605875,577,683,95465,151,Season,10,cat,,,June - Aug 1985,raw_value,"","","","",""
90448,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,353,"Tague Bay, St. Croix",17.758046,-64.605875,577,683,95463,133,Dark respiration,46,µmol O2 cm^-2 h^-1,25,Oxygen consumption in chambers in the dark,0.19,raw_value,"","","","",Oxygen consumption in chambers in the dark
90447,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,574,683,95461,143,Water depth,9,m,,,5,raw_value,"","","","",""
90447,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,574,683,95462,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90447,1,15,124,Acropora palmata,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,574,683,95460,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.84,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90450,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95471,143,Water depth,9,m,,,0,raw_value,"","","","",""
90450,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95472,142,Habitat type,10,cat,,,flat,raw_value,"","","","",""
90450,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95473,153,Irradiance,53,µmol quanta m^-2 s^-1,,,~1000-1500,raw_value,"","","","",""
90450,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95470,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.7,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to srface area by foil
90449,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95467,143,Water depth,9,m,,,3,raw_value,"","","","",""
90449,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95468,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90449,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95469,153,Irradiance,53,µmol quanta m^-2 s^-1,,,~500-750,raw_value,"","","","",""
90449,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95466,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.78,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to srface area by foil
90493,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95673,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,3.3,raw_value,"","","","",Oxygen production in the light in stirring chambers
90493,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95674,143,Water depth,9,m,,,3,raw_value,"","","","",""
90493,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95675,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90493,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95676,153,Irradiance,53,µmol quanta m^-2 s^-1,,,~500-750,raw_value,"","","","",""
90494,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95677,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,3.17,raw_value,"","","","",Oxygen production in the light in stirring chambers
90494,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95678,143,Water depth,9,m,,,0,raw_value,"","","","",""
90494,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95679,142,Habitat type,10,cat,,,flat,raw_value,"","","","",""
90494,1,15,805,Goniastrea retiformis,Robust,Merulinidae,Faviidae,177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,466,683,95680,153,Irradiance,53,µmol quanta m^-2 s^-1,,,~1000-1500,raw_value,"","","","",""
90471,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95558,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.21,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90471,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95559,143,Water depth,9,m,,,13 to 80,raw_value,"","","","",""
90471,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95560,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90470,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95555,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.3,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90470,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95556,143,Water depth,9,m,,,13 to 80,raw_value,"","","","",""
90470,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95557,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90469,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95553,143,Water depth,9,m,,,13 to 80,raw_value,"","","","",""
90469,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95554,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90469,1,15,975,Montastraea cavernosa,Robust,Montastraeidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95552,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.41,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90514,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95777,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,26,Oxygen consumption in the dark in small flume,3.92,raw_value,"","","","","Oxygen production in small \flume\"""
90514,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95778,143,Water depth,9,m,,,3,raw_value,"","","","",""
90514,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95779,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90514,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95780,153,Irradiance,53,µmol quanta m^-2 s^-1,,,200,raw_value,"","","","",""
90514,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95781,154,Flow rate,54,ml min^-1,,,5 to 6 cm s-1,raw_value,"","","","",""
90479,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95602,143,Water depth,9,m,,,4,raw_value,"","","","",""
90479,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95603,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90479,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95604,153,Irradiance,53,µmol quanta m^-2 s^-1,,,1840,raw_value,"","","","",""
90479,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95605,154,Flow rate,54,ml min^-1,,,5 to 6 cm s-1,raw_value,"","","","",""
90479,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95601,133,Dark respiration,46,µmol O2 cm^-2 h^-1,26,Oxygen consumption in the dark in small flume,0.43,raw_value,"","","","","Oxygen consumption in the dark in small \flume\"""
90478,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95597,143,Water depth,9,m,,,3,raw_value,"","","","",""
90478,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95598,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90478,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95599,153,Irradiance,53,µmol quanta m^-2 s^-1,,,730,raw_value,"","","","",""
90478,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95600,154,Flow rate,54,ml min^-1,,,5 to 6 cm s-1,raw_value,"","","","",""
90478,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95596,133,Dark respiration,46,µmol O2 cm^-2 h^-1,26,Oxygen consumption in the dark in small flume,0.7,raw_value,"","","","","Oxygen consumption in the dark in small \flume\"""
90515,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95782,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,26,Oxygen consumption in the dark in small flume,3.24,raw_value,"","","","","Oxygen production in small \flume\"""
90515,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95783,143,Water depth,9,m,,,3,raw_value,"","","","",""
90515,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95784,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90515,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95785,153,Irradiance,53,µmol quanta m^-2 s^-1,,,730,raw_value,"","","","",""
90515,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95786,154,Flow rate,54,ml min^-1,,,5 to 6 cm s-1,raw_value,"","","","",""
90516,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95787,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,26,Oxygen consumption in the dark in small flume,2.74,raw_value,"","","","","Oxygen production in small \flume\"""
90516,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95788,143,Water depth,9,m,,,4,raw_value,"","","","",""
90516,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95789,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90516,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95790,153,Irradiance,53,µmol quanta m^-2 s^-1,,,1840,raw_value,"","","","",""
90516,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95791,154,Flow rate,54,ml min^-1,,,5 to 6 cm s-1,raw_value,"","","","",""
90477,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95592,143,Water depth,9,m,,,3,raw_value,"","","","",""
90477,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95593,142,Habitat type,10,cat,,,slope,raw_value,"","","","",""
90477,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95594,153,Irradiance,53,µmol quanta m^-2 s^-1,,,200,raw_value,"","","","",""
90477,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95595,154,Flow rate,54,ml min^-1,,,5 to 6 cm s-1,raw_value,"","","","",""
90477,1,15,1034,Montipora monasteriata,Complex,Acroporidae,Acroporidae,358,Wistari Reef,-23.455648,151.883326,502,683,95591,133,Dark respiration,46,µmol O2 cm^-2 h^-1,26,Oxygen consumption in the dark in small flume,1.33,raw_value,"","","","","Oxygen consumption in the dark in small \flume\"""
90506,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95732,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,5.52,raw_value,"","","","",Oxygen production in the light in stirring chambers
90506,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95733,143,Water depth,9,m,,,4 to 5,raw_value,"","","","",""
90506,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95734,142,Habitat type,10,cat,,,fore,raw_value,"","","","",""
90506,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95735,151,Season,10,cat,,,Jun-02,raw_value,"","","","",""
90506,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95736,152,Water temperature,52,ºC,,,33,raw_value,"","","","",""
90453,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95480,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.63,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90453,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95481,143,Water depth,9,m,,,3 to 40,raw_value,"","","","",""
90453,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95482,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90454,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95483,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.46,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90454,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95484,143,Water depth,9,m,,,3 to 40,raw_value,"","","","",""
90454,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95485,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90467,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95542,133,Dark respiration,46,µmol O2 cm^-2 h^-1,25,Oxygen consumption in chambers in the dark,2.19,raw_value,"","","","",Oxygen consumption in chambers in the dark
90467,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95543,143,Water depth,9,m,,,4 to 5,raw_value,"","","","",""
90467,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95544,142,Habitat type,10,cat,,,fore,raw_value,"","","","",""
90467,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95545,151,Season,10,cat,,,Jun-02,raw_value,"","","","",""
90467,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95546,152,Water temperature,52,ºC,,,34,raw_value,"","","","",""
90502,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95712,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,0.78,raw_value,"","","","",Oxygen production in the light in stirring chambers
90502,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95713,143,Water depth,9,m,,,4 to 5,raw_value,"","","","",""
90502,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95714,142,Habitat type,10,cat,,,lagoon,raw_value,"","","","",""
90502,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95715,151,Season,10,cat,,,Jun-02,raw_value,"","","","",""
90502,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95716,152,Water temperature,52,ºC,,,35,raw_value,"","","","",""
90504,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95722,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,4.7,raw_value,"","","","",Oxygen production in the light in stirring chambers
90504,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95723,143,Water depth,9,m,,,4 to 5,raw_value,"","","","",""
90504,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95724,142,Habitat type,10,cat,,,fore,raw_value,"","","","",""
90504,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95725,151,Season,10,cat,,,Jun-02,raw_value,"","","","",""
90504,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95726,152,Water temperature,52,ºC,,,31,raw_value,"","","","",""
90505,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95727,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,5.46,raw_value,"","","","",Oxygen production in the light in stirring chambers
90505,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95728,143,Water depth,9,m,,,4 to 5,raw_value,"","","","",""
90505,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95729,142,Habitat type,10,cat,,,fore,raw_value,"","","","",""
90505,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95730,151,Season,10,cat,,,Jun-02,raw_value,"","","","",""
90505,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95731,152,Water temperature,52,ºC,,,32,raw_value,"","","","",""
90452,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95477,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.55,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90452,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95478,143,Water depth,9,m,,,3 to 40,raw_value,"","","","",""
90452,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,47,Jamaica,18.13265,-77.29588889,574,683,95479,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90507,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95737,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,3.09,raw_value,"","","","",Oxygen production in the light in stirring chambers
90507,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95738,143,Water depth,9,m,,,4 to 5,raw_value,"","","","",""
90507,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95739,142,Habitat type,10,cat,,,fore,raw_value,"","","","",""
90507,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95740,151,Season,10,cat,,,Jun-02,raw_value,"","","","",""
90507,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95741,152,Water temperature,52,ºC,,,34,raw_value,"","","","",""
90508,1,15,973,Orbicella annularis,Robust,Merulinidae,Faviidae,356,Southern Belize,16.412375,-88.231201,579,683,95742,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,0.44,raw_value,"","","","",Oxygen production in the light in stirring chambers
